- | STRIKE | Gravity Thump :: D (redundant with Gravity Thump)
- | RAKE | Torsion Rend :: D (redundant with Void Rend)
- | RAKE | Torsion Rip :: D (redundant with Void Rip)
- | RAKE | Torsion Shred :: D (redundant with Void Shred)
- | RAKE | Torsion Slash :: D (redundant with Warp Slash)
- | RAKE | Torsion Gash :: D (redundant with Rift Gash)
- | RAKE | Torsion Gouge :: D (redundant with Void Gouge)
- | RAKE | Torsion Flurry :: D (redundant with Void Flurry)
- | RAKE | Torsion Frenzy :: D (redundant with Void Frenzy)
- | RAKE | Torsion Barrage :: D (redundant with Void Barrage)
- | RAKE | Torsion Volley :: D (redundant with Void Volley)
- | RAKE | Torsion Fusillade :: D (redundant)
- | RAKE | Torsion Fray :: D (redundant with Void Fray)
- | RAKE | Torsion Score :: D (redundant with Void Score)
- | RAKE | Torsion Chop :: D (redundant)
- | RAKE | Torsion Hack :: D (redundant)
- | RAKE | Torsion Whittle :: D (redundant with Entropic Whittle)
- | RAKE | Torsion Mangle :: D (redundant)
- | RAKE | Torsion Maul :: D (redundant)
- | RAKE | Torsion Savage :: D (redundant)
- | RAKE | Spiral Rend :: D (redundant with Void Rend)
- | RAKE | Spiral Rip :: D (redundant with Void Rip)
- | RAKE | Spiral Shred :: D (redundant with Void Shred)
- | RAKE | Spiral Slash :: D (redundant with Warp Slash)
- | RAKE | Spiral Gash :: D (redundant with Rift Gash)
- | RAKE | Spiral Gouge :: D (redundant with Void Gouge)
- | RAKE | Spiral Flurry :: D (redundant with Void Flurry)
- | RAKE | Spiral Frenzy :: D (redundant with Void Frenzy)
- | RAKE | Spiral Barrage :: D (redundant with Void Barrage)
- | RAKE | Spiral Volley :: D (redundant with Void Volley)
- | RAKE | Spiral Fusillade :: D (redundant)
- | RAKE | Spiral Fray :: D (redundant with Void Fray)
- | RAKE | Spiral Shear :: D (redundant with Gravity Shear)
- | RAKE | Spiral Score :: D (redundant with Void Score)
- | RAKE | Spiral Chop :: D (redundant)
- | RAKE | Spiral Hack :: D (redundant)
- | RAKE | Spiral Whittle :: D (redundant with Entropic Whittle)
- | RAKE | Spiral Mangle :: D (redundant)
- | RAKE | Spiral Maul :: D (redundant)
- | RAKE | Spiral Savage :: D (redundant)
- | RAKE | Entropic Rend :: D (redundant with Void Rend)
- | RAKE | Entropic Rip :: D (redundant with Void Rip)
- | RAKE | Entropic Shred :: D (redundant with Void Shred)
- | RAKE | Entropic Slash :: D (redundant with Void Slash)
- | RAKE | Entropic Gash :: D (redundant with Rift Gash)
- | RAKE | Entropic Gouge :: D (redundant with Void Gouge)
- | RAKE | Entropic Scratch :: D (redundant with Entropic Whittle register — a scratch is too discrete for entr
- | RAKE | Entropic Flurry :: D (redundant with Void Flurry)
- | RAKE | Entropic Barrage :: D (redundant with Void Barrage)
- | RAKE | Entropic Volley :: D (redundant with Void Volley)
- | RAKE | Entropic Fusillade :: D (redundant)
- | RAKE | Entropic Shear :: D (redundant with Gravity Shear)
- | RAKE | Entropic Score :: D (redundant with Void Score)
- | RAKE | Entropic Chop :: D (redundant)
- | RAKE | Entropic Hack :: D (redundant)
- | RAKE | Entropic Mangle :: D (redundant with Void Mangle)
- | RAKE | Entropic Maul :: D (redundant with Void Maul)
- | RAKE | Entropic Savage :: D (redundant with Void Savage)
- | SHOVE | Gravity Buffet :: D (redundant with Inertial Buffet)
- | SHOVE | Gravity Jolt :: X (Void Jolt already strike-owned; "Gravity Jolt" tested separately — D, redunda
- | SHOVE | Gravity Collision :: D (redundant with Mass Collision)
- | SHOVE | Gravity Repel :: D (redundant with Void Repulse)
- | SHOVE | Gravity Repulse :: D (redundant with Void Repulse)
- | SHOVE | Gravity Evict :: D (redundant with Gravity Expel)
- | SHOVE | Gravity Displace :: D (redundant with Mass Displacement)
- | SHOVE | Gravity Unseat :: D (redundant with Void Unseat)
- | SHOVE | Gravity Overthrow :: D (redundant with Void Overthrow)
- | SHOVE | Gravity Rock :: D (redundant with Void Rock)
- | SHOVE | Gravity Wrench :: D (redundant with Void Wrench)
- | SHOVE | Gravity Clout :: D (redundant with Void Clout)
- | SHOVE | Void Bash :: D (redundant with Gravity Bash)
- | SHOVE | Void Buffet :: D (redundant with Inertial Buffet)
- | SHOVE | Void Dislodge :: D (redundant with Gravity Dislodge)
- | SHOVE | Singularity Push :: D (redundant/weak, same inward-collapse mismatch)
- | SHOVE | Singularity Bash :: D (redundant with Void Bash)
- | SHOVE | Singularity Buffet :: D (redundant with Inertial Buffet)
- | SHOVE | Singularity Jolt :: D (redundant with Void Jolt)
- | SHOVE | Singularity Jostle :: D (redundant with Void Jostle)
- | SHOVE | Singularity Barge :: D (redundant with Void Barge)
- | SHOVE | Singularity Broadside :: D (redundant with Void Broadside)
- | SHOVE | Singularity Collision :: D (redundant with Void Collision)
- | SHOVE | Singularity Repel :: D (redundant with Void Repulse)
- | SHOVE | Singularity Repulse :: D (redundant with Void Repulse)
- | SHOVE | Singularity Expel :: D (redundant with Void Expel)
- | SHOVE | Singularity Eject :: D (redundant with Void Eject)
- | SHOVE | Singularity Evict :: D (redundant with Void Evict)
- | SHOVE | Singularity Displace :: D (redundant with Void Displace)
- | SHOVE | Singularity Dislodge :: D (redundant with Gravity Dislodge)
- | SHOVE | Singularity Unseat :: D (redundant with Void Unseat)
- | SHOVE | Singularity Upset :: D (redundant with Void Upset)
- | SHOVE | Singularity Overturn :: D (redundant with Void Overturn)
- | SHOVE | Singularity Topple :: D (redundant with Void Topple)
- | SHOVE | Singularity Overthrow :: D (redundant with Void Overthrow)
- | SHOVE | Singularity Stagger :: D (redundant with Void Stagger)
- | SHOVE | Singularity Rock :: D (redundant with Void Rock)
- | SHOVE | Singularity Buckle :: D (redundant with Void Buckle)
- | SHOVE | Singularity Wrench :: D (redundant with Void Wrench)
- | SHOVE | Singularity Heave :: D (redundant with Void Heave)
- | SHOVE | Singularity Bump :: D (redundant with Void Bump)
- | SHOVE | Singularity Clout :: D (redundant with Void Clout)
- | SHOVE | Singularity Stampede :: D (redundant with Void Stampede)
- | SHOVE | Mass Push :: D (redundant with Gravity Push)
- | SHOVE | Mass Thrust :: D (redundant with Gravity Thrust)
- | SHOVE | Mass Ram :: X (Mass Hurl already lives in hurl per the ratified consolidated-dark note that 
- | SHOVE | Mass Charge :: X (redundant with strike-owned Charge family)
- | SHOVE | Mass Bash :: D (redundant with Gravity Bash)
- | SHOVE | Mass Buffet :: D (redundant with Inertial Buffet)
- | SHOVE | Mass Jolt :: X (redundant with Void Jolt, strike-owned)
- | SHOVE | Mass Jostle :: D (redundant with Void Jostle)
- | SHOVE | Mass Barge :: X (redundant with strike-owned Barge family)
- | SHOVE | Mass Butt :: X (redundant with strike-owned Butt family)
- | SHOVE | Mass Broadside :: D (redundant with Gravity Broadside)
- | SHOVE | Mass Repel :: D (redundant with Void Repulse)
- | SHOVE | Mass Repulse :: D (redundant with Void Repulse)
- | SHOVE | Mass Expel :: D (redundant with Gravity Expel)
- | SHOVE | Mass Eject :: D (redundant with Gravity Eject)
- | SHOVE | Mass Evict :: D (redundant with Void Evict)
- | SHOVE | Mass Dislodge :: D (redundant with Gravity Dislodge)
- | SHOVE | Mass Unseat :: D (redundant with Void Unseat)
- | SHOVE | Mass Upset :: D (redundant with Gravity Upset)
- | SHOVE | Mass Overturn :: D (redundant with Gravity Overturn)
- | SHOVE | Mass Topple :: D (redundant with Gravity Topple)
- | SHOVE | Mass Overthrow :: D (redundant with Void Overthrow)
- | SHOVE | Mass Stagger :: D (redundant with Gravity Stagger)
- | SHOVE | Mass Rock :: D (redundant with Void Rock)
- | SHOVE | Mass Buckle :: D (redundant with Gravity Buckle)
- | SHOVE | Mass Wrench :: D (redundant with Void Wrench)
- | SHOVE | Mass Heave :: D (redundant with Gravity Heave)
- | SHOVE | Mass Bump :: D (redundant with Gravity Bump)
- | SHOVE | Mass Clout :: D (redundant with Void Clout)
- | SHOVE | Mass Stampede :: D (redundant with Gravity Stampede)
- | SHOVE | Warp Push :: D (redundant with Void Push)
- | SHOVE | Warp Thrust :: D (redundant with Void Thrust)
- | SHOVE | Warp Charge :: D (redundant with strike-owned Charge family)
- | SHOVE | Warp Slam :: D (redundant with Void Slam)
- | SHOVE | Warp Bash :: D (redundant with Void Bash)
- | SHOVE | Warp Buffet :: D (redundant with Inertial Buffet)
- | SHOVE | Warp Jolt :: D (redundant with Void Jolt)
- | SHOVE | Warp Jostle :: D (redundant with Void Jostle)
- | SHOVE | Warp Barge :: D (redundant with Void Barge)
- | SHOVE | Warp Broadside :: D (redundant with Void Broadside)
- | SHOVE | Warp Collision :: D (redundant with Void Collision)
- | SHOVE | Warp Repulse :: D (redundant with Warp Repel)
- | SHOVE | Warp Expel :: D (redundant with Void Expel)
- | SHOVE | Warp Eject :: D (redundant with Void Eject)
- | SHOVE | Warp Evict :: D (redundant with Void Evict)
- | SHOVE | Warp Displace :: D (redundant with Void Displace)
- | SHOVE | Warp Dislodge :: D (redundant with Gravity Dislodge)
- | SHOVE | Warp Unseat :: D (redundant with Void Unseat)
- | SHOVE | Warp Upset :: D (redundant with Void Upset)
- | SHOVE | Warp Overturn :: D (redundant with Void Overturn)
- | SHOVE | Warp Topple :: D (redundant with Void Topple)
- | SHOVE | Warp Overthrow :: D (redundant with Void Overthrow)
- | SHOVE | Warp Stagger :: D (redundant with Void Stagger)
- | SHOVE | Warp Rock :: D (redundant with Void Rock)
- | SHOVE | Warp Buckle :: D (redundant with Void Buckle)
- | SHOVE | Warp Wrench :: D (redundant with Void Wrench)
- | SHOVE | Warp Heave :: D (redundant with Void Heave)
- | SHOVE | Warp Bump :: D (redundant with Void Bump)
- | SHOVE | Warp Clout :: D (redundant with Void Clout)
- | SHOVE | Warp Stampede :: D (redundant with Void Stampede)
- | SHOVE | Inertial Push :: D (redundant with Void Push)
- | SHOVE | Inertial Thrust :: D (redundant with Void Thrust)
- | SHOVE | Inertial Charge :: D (redundant)
- | SHOVE | Inertial Slam :: D (redundant with Void Slam)
- | SHOVE | Inertial Bash :: D (redundant with Void Bash)
- | SHOVE | Inertial Jolt :: D (redundant with Void Jolt)
- | SHOVE | Inertial Jostle :: D (redundant with Void Jostle)
- | SHOVE | Inertial Barge :: D (redundant with Void Barge)
- | SHOVE | Inertial Broadside :: D (redundant with Void Broadside)
- | SHOVE | Inertial Collision :: D (redundant with Void Collision)
- | SHOVE | Inertial Repel :: D (redundant with Void Repulse)
- | SHOVE | Inertial Repulse :: D (redundant with Void Repulse)
- | SHOVE | Inertial Expel :: D (redundant with Void Expel)
- | SHOVE | Inertial Eject :: D (redundant with Void Eject)
- | SHOVE | Inertial Evict :: D (redundant with Void Evict)
- | SHOVE | Inertial Displace :: D (redundant with Void Displace)
- | SHOVE | Inertial Dislodge :: D (redundant with Gravity Dislodge)
- | SHOVE | Inertial Unseat :: D (redundant with Void Unseat)
- | SHOVE | Inertial Upset :: D (redundant with Void Upset)
- | SHOVE | Inertial Overturn :: D (redundant with Void Overturn)
- | SHOVE | Inertial Topple :: D (redundant with Void Topple)
- | SHOVE | Inertial Overthrow :: D (redundant with Void Overthrow)
- | SHOVE | Inertial Stagger :: D (redundant with Void Stagger)
- | SHOVE | Inertial Rock :: D (redundant with Void Rock)
- | SHOVE | Inertial Buckle :: D (redundant with Void Buckle)
- | SHOVE | Inertial Wrench :: D (redundant with Void Wrench)
- | SHOVE | Inertial Heave :: D (redundant with Void Heave)
- | SHOVE | Inertial Bump :: D (redundant with Void Bump)
- | SHOVE | Inertial Clout :: D (redundant)
- | SHOVE | Inertial Stampede :: D (redundant)
- | SHOVE | Momentum Shove :: D (redundant with Momentum Shift's already-kept register)
- | SHOVE | Momentum Push :: D (redundant with Gravity Push)
- | SHOVE | Momentum Thrust :: D (redundant with Gravity Thrust)
- | SHOVE | Momentum Charge :: D (redundant)
- | SHOVE | Momentum Slam :: D (redundant with Void Slam)
- | SHOVE | Momentum Bash :: D (redundant with Void Bash)
- | SHOVE | Momentum Buffet :: D (redundant with Inertial Buffet)
- | SHOVE | Momentum Jolt :: D (redundant with Void Jolt)
- | SHOVE | Momentum Jostle :: D (redundant with Void Jostle)
- | SHOVE | Momentum Barge :: D (redundant with Void Barge)
- | SHOVE | Momentum Broadside :: D (redundant with Void Broadside)
- | SHOVE | Momentum Collision :: D (redundant with Void Collision)
- | SHOVE | Momentum Repel :: D (redundant with Void Repulse)
- | SHOVE | Momentum Repulse :: D (redundant with Void Repulse)
- | SHOVE | Momentum Expel :: D (redundant)
- | SHOVE | Momentum Eject :: D (redundant)
- | SHOVE | Momentum Evict :: D (redundant)
- | SHOVE | Momentum Dislodge :: D (redundant with Gravity Dislodge)
- | SHOVE | Momentum Unseat :: D (redundant with Void Unseat)
- | SHOVE | Momentum Upset :: D (redundant with Void Upset)
- | SHOVE | Momentum Overturn :: D (redundant with Void Overturn)
- | SHOVE | Momentum Topple :: D (redundant with Void Topple)
- | SHOVE | Momentum Overthrow :: D (redundant with Void Overthrow)
- | SHOVE | Momentum Stagger :: D (redundant with Void Stagger)
- | SHOVE | Momentum Rock :: D (redundant with Void Rock)
- | SHOVE | Momentum Buckle :: D (redundant with Void Buckle)
- | SHOVE | Momentum Wrench :: D (redundant with Void Wrench)
- | SHOVE | Momentum Heave :: D (redundant with Void Heave)
- | SHOVE | Momentum Bump :: D (redundant with Void Bump)
- | SHOVE | Momentum Clout :: D (redundant)
- | SHOVE | Momentum Stampede :: D (redundant)
- | SHOVE | Force Push :: D (redundant with Gravity Push)
- | SHOVE | Force Thrust :: D (redundant with Gravity Thrust)
- | SHOVE | Force Ram :: D (redundant with Gravity Ram, strike-owned)
- | SHOVE | Force Charge :: D (redundant)
- | SHOVE | Force Slam :: D (redundant with Void Slam)
- | SHOVE | Force Bash :: D (redundant with Void Bash)
- | SHOVE | Force Buffet :: D (redundant with Inertial Buffet)
- | SHOVE | Force Jolt :: D (redundant with Void Jolt)
- | SHOVE | Force Jostle :: D (redundant with Void Jostle)
- | SHOVE | Force Barge :: D (redundant with Void Barge)
- | SHOVE | Force Broadside :: D (redundant with Void Broadside)
- | SHOVE | Force Collision :: D (redundant with Void Collision)
- | SHOVE | Force Repel :: D (redundant with Void Repulse)
- | SHOVE | Force Repulse :: D (redundant with Void Repulse)
- | SHOVE | Force Expel :: D (redundant)
- | SHOVE | Force Eject :: D (redundant)
- | SHOVE | Force Evict :: D (redundant)
- | SHOVE | Force Displace :: D (redundant with Mass Displacement)
- | SHOVE | Force Dislodge :: D (redundant with Gravity Dislodge)
- | SHOVE | Force Unseat :: D (redundant with Void Unseat)
- | SHOVE | Force Upset :: D (redundant with Void Upset)
- | SHOVE | Force Overturn :: D (redundant with Void Overturn)
- | SHOVE | Force Topple :: D (redundant with Void Topple)
- | SHOVE | Force Overthrow :: D (redundant with Void Overthrow)
- | SHOVE | Force Stagger :: D (redundant with Void Stagger)
- | SHOVE | Force Rock :: D (redundant with Void Rock)
- | SHOVE | Force Buckle :: D (redundant with Void Buckle)
- | SHOVE | Force Wrench :: D (redundant with Void Wrench)
- | SHOVE | Force Heave :: D (redundant with Void Heave)
- | SHOVE | Force Bump :: D (redundant with Void Bump)
- | SHOVE | Force Clout :: D (redundant)
- | SHOVE | Force Stampede :: D (redundant)
- | SHOVE | Ballast Push :: D (redundant with Gravity Push)
- | SHOVE | Ballast Thrust :: D (redundant with Gravity Thrust)
- | SHOVE | Ballast Ram :: D (redundant with Gravity Ram, strike-owned)
- | SHOVE | Ballast Charge :: D (redundant)
- | SHOVE | Ballast Slam :: D (redundant with Void Slam)
- | SHOVE | Ballast Bash :: D (redundant with Void Bash)
- | SHOVE | Ballast Buffet :: D (redundant with Inertial Buffet)
- | SHOVE | Ballast Jolt :: D (redundant)
- | SHOVE | Ballast Jostle :: D (redundant)
- | SHOVE | Ballast Barge :: D (redundant)
- | SHOVE | Ballast Broadside :: D (redundant)
- | SHOVE | Ballast Collision :: D (redundant with Mass Collision)
- | SHOVE | Ballast Repel :: D (redundant with Void Repulse)
- | SHOVE | Ballast Repulse :: D (redundant with Void Repulse)
- | SHOVE | Ballast Expel :: D (redundant)
- | SHOVE | Ballast Eject :: D (redundant)
- | SHOVE | Ballast Evict :: D (redundant)
- | SHOVE | Ballast Displace :: D (redundant with Mass Displacement)
- | SHOVE | Ballast Dislodge :: D (redundant with Gravity Dislodge)
- | SHOVE | Ballast Unseat :: D (redundant with Void Unseat)
- | SHOVE | Ballast Upset :: D (redundant)
- | SHOVE | Ballast Overturn :: D (redundant)
- | SHOVE | Ballast Topple :: D (redundant)
- | SHOVE | Ballast Overthrow :: D (redundant)
- | SHOVE | Ballast Stagger :: D (redundant)
- | SHOVE | Ballast Rock :: D (redundant)
- | SHOVE | Ballast Buckle :: D (redundant)
- | SHOVE | Ballast Wrench :: D (redundant)
- | SHOVE | Ballast Heave :: D (redundant with Gravity Heave)
- | SHOVE | Ballast Bump :: D (redundant)
- | SHOVE | Ballast Clout :: D (redundant)
- | SHOVE | Ballast Stampede :: D (redundant)
- | SHOVE | Deadweight Push :: D (redundant)
- | SHOVE | Deadweight Thrust :: D (redundant)
- | SHOVE | Deadweight Ram :: D (redundant)
- | SHOVE | Deadweight Charge :: D (redundant)
- | SHOVE | Deadweight Slam :: D (redundant)
- | SHOVE | Deadweight Bash :: D (redundant)
- | SHOVE | Deadweight Buffet :: D (redundant)
- | SHOVE | Deadweight Jolt :: D (redundant)
- | SHOVE | Deadweight Jostle :: D (redundant)
- | SHOVE | Deadweight Barge :: D (redundant)
- | SHOVE | Deadweight Broadside :: D (redundant)
- | SHOVE | Deadweight Collision :: D (redundant)
- | SHOVE | Deadweight Repel :: D (redundant)
- | SHOVE | Deadweight Repulse :: D (redundant)
- | SHOVE | Deadweight Expel :: D (redundant)
- | SHOVE | Deadweight Eject :: D (redundant)
- | SHOVE | Deadweight Evict :: D (redundant)
- | SHOVE | Deadweight Displace :: D (redundant)
- | SHOVE | Deadweight Dislodge :: D (redundant)
- | SHOVE | Deadweight Unseat :: D (redundant)
- | SHOVE | Deadweight Upset :: D (redundant)
- | SHOVE | Deadweight Overturn :: D (redundant)
- | SHOVE | Deadweight Topple :: D (redundant)
- | SHOVE | Deadweight Overthrow :: D (redundant)
- | SHOVE | Deadweight Stagger :: D (redundant)
- | SHOVE | Deadweight Rock :: D (redundant)
- | SHOVE | Deadweight Buckle :: D (redundant)
- | SHOVE | Deadweight Wrench :: D (redundant)
- | SHOVE | Deadweight Heave :: D (redundant with Gravity Heave)
- | SHOVE | Deadweight Bump :: D (redundant)
- | SHOVE | Deadweight Clout :: D (redundant)
- | SHOVE | Deadweight Stampede :: D (redundant)
- | SHOVE | Millstone Push :: D (redundant)
- | SHOVE | Millstone Thrust :: D (redundant)
- | SHOVE | Millstone Ram :: D (redundant)
- | SHOVE | Millstone Charge :: D (redundant)
- | SHOVE | Millstone Slam :: D (redundant)
- | SHOVE | Millstone Bash :: D (redundant)
- | SHOVE | Millstone Buffet :: D (redundant)
- | SHOVE | Millstone Jolt :: D (redundant)
- | SHOVE | Millstone Jostle :: D (redundant)
- | SHOVE | Millstone Barge :: D (redundant)
- | SHOVE | Millstone Broadside :: D (redundant)
- | SHOVE | Millstone Collision :: D (redundant)
- | SHOVE | Millstone Repel :: D (redundant)
- | SHOVE | Millstone Repulse :: D (redundant)
- | SHOVE | Millstone Expel :: D (redundant)
- | SHOVE | Millstone Eject :: D (redundant)
- | SHOVE | Millstone Evict :: D (redundant)
- | SHOVE | Millstone Displace :: D (redundant)
- | SHOVE | Millstone Dislodge :: D (redundant)
- | SHOVE | Millstone Unseat :: D (redundant)
- | SHOVE | Millstone Upset :: D (redundant)
- | SHOVE | Millstone Overturn :: D (redundant)
- | SHOVE | Millstone Topple :: D (redundant)
- | SHOVE | Millstone Overthrow :: D (redundant)
- | SHOVE | Millstone Stagger :: D (redundant)
- | SHOVE | Millstone Rock :: D (redundant)
- | SHOVE | Millstone Buckle :: D (redundant)
- | SHOVE | Millstone Wrench :: D (redundant)
- | SHOVE | Millstone Heave :: D (redundant)
- | SHOVE | Millstone Bump :: D (redundant)
- | SHOVE | Millstone Clout :: D (redundant)
- | SHOVE | Millstone Stampede :: D (redundant)
- | SHOVE | Density Push :: D (redundant)
- | SHOVE | Density Thrust :: D (redundant)
- | SHOVE | Density Ram :: D (redundant)
- | SHOVE | Density Charge :: D (redundant)
- | SHOVE | Density Slam :: D (redundant)
- | SHOVE | Density Bash :: D (redundant)
- | SHOVE | Density Buffet :: D (redundant)
- | SHOVE | Density Jolt :: D (redundant)
- | SHOVE | Density Jostle :: D (redundant)
- | SHOVE | Density Barge :: D (redundant)
- | SHOVE | Density Broadside :: D (redundant)
- | SHOVE | Density Collision :: D (redundant)
- | SHOVE | Density Repel :: D (redundant)
- | SHOVE | Density Repulse :: D (redundant)
- | SHOVE | Density Expel :: D (redundant)
- | SHOVE | Density Eject :: D (redundant)
- | SHOVE | Density Evict :: D (redundant)
- | SHOVE | Density Displace :: D (redundant)
- | SHOVE | Density Dislodge :: D (redundant)
- | SHOVE | Density Unseat :: D (redundant)
- | SHOVE | Density Upset :: D (redundant)
- | SHOVE | Density Overturn :: D (redundant)
- | SHOVE | Density Topple :: D (redundant)
- | SHOVE | Density Overthrow :: D (redundant)
- | SHOVE | Density Stagger :: D (redundant)
- | SHOVE | Density Rock :: D (redundant)
- | SHOVE | Density Buckle :: D (redundant)
- | SHOVE | Density Wrench :: D (redundant)
- | SHOVE | Density Heave :: D (redundant)
- | SHOVE | Density Bump :: D (redundant)
- | SHOVE | Density Clout :: D (redundant)
- | SHOVE | Density Stampede :: D (redundant)
- | SHOVE | Dense Push :: D (redundant)
- | SHOVE | Dense Thrust :: D (redundant)
- | SHOVE | Dense Ram :: D (redundant)
- | SHOVE | Dense Charge :: D (redundant)
- | SHOVE | Dense Slam :: D (redundant)
- | SHOVE | Dense Bash :: D (redundant)
- | SHOVE | Dense Buffet :: D (redundant)
- | SHOVE | Dense Jolt :: D (redundant)
- | SHOVE | Dense Jostle :: D (redundant)
- | SHOVE | Dense Barge :: D (redundant)
- | SHOVE | Dense Broadside :: D (redundant)
- | SHOVE | Dense Collision :: D (redundant)
- | SHOVE | Dense Repel :: D (redundant)
- | SHOVE | Dense Repulse :: D (redundant)
- | SHOVE | Dense Expel :: D (redundant)
- | SHOVE | Dense Eject :: D (redundant)
- | SHOVE | Dense Evict :: D (redundant)
- | SHOVE | Dense Displace :: D (redundant)
- | SHOVE | Dense Dislodge :: D (redundant)
- | SHOVE | Dense Unseat :: D (redundant)
- | SHOVE | Dense Upset :: D (redundant)
- | SHOVE | Dense Overturn :: D (redundant)
- | SHOVE | Dense Topple :: D (redundant)
- | SHOVE | Dense Overthrow :: D (redundant)
- | SHOVE | Dense Stagger :: D (redundant)
- | SHOVE | Dense Rock :: D (redundant)
- | SHOVE | Dense Buckle :: D (redundant)
- | SHOVE | Dense Wrench :: D (redundant)
- | SHOVE | Dense Heave :: D (redundant)
- | SHOVE | Dense Bump :: D (redundant)
- | SHOVE | Dense Clout :: D (redundant)
- | SHOVE | Dense Stampede :: D (redundant)
- | SHOVE | Weight Shove :: D (weak, redundant with Mass Displacement register)
- | SHOVE | Weight Push :: D (redundant)
- | SHOVE | Weight Thrust :: D (redundant)
- | SHOVE | Weight Ram :: D (redundant)
- | SHOVE | Weight Charge :: D (redundant)
- | SHOVE | Weight Slam :: D (redundant)
- | SHOVE | Weight Bash :: D (redundant)
- | SHOVE | Weight Buffet :: D (redundant)
- | SHOVE | Weight Jolt :: D (redundant)
- | SHOVE | Weight Jostle :: D (redundant)
- | SHOVE | Weight Barge :: D (redundant)
- | SHOVE | Weight Broadside :: D (redundant)
- | SHOVE | Weight Collision :: D (redundant)
- | SHOVE | Weight Repel :: D (redundant)
- | SHOVE | Weight Repulse :: D (redundant)
- | SHOVE | Weight Expel :: D (redundant)
- | SHOVE | Weight Eject :: D (redundant)
- | SHOVE | Weight Evict :: D (redundant)
- | SHOVE | Weight Displace :: D (redundant with Mass Displacement)
- | SHOVE | Weight Dislodge :: D (redundant)
- | SHOVE | Weight Unseat :: D (redundant)
- | SHOVE | Weight Upset :: D (redundant)
- | SHOVE | Weight Overturn :: D (redundant)
- | SHOVE | Weight Topple :: D (redundant)
- | SHOVE | Weight Overthrow :: D (redundant)
- | SHOVE | Weight Stagger :: D (redundant)
- | SHOVE | Weight Rock :: D (redundant)
- | SHOVE | Weight Buckle :: D (redundant)
- | SHOVE | Weight Wrench :: D (redundant)
- | SHOVE | Weight Heave :: D (redundant)
- | SHOVE | Weight Bump :: D (redundant)
- | SHOVE | Weight Clout :: D (redundant)
- | SHOVE | Weight Stampede :: D (redundant)
- | SHOVE | Weighty Push :: D (redundant)
- | SHOVE | Weighty Thrust :: D (redundant)
- | SHOVE | Weighty Ram :: D (redundant)
- | SHOVE | Weighty Charge :: D (redundant)
- | SHOVE | Weighty Slam :: D (redundant)
- | SHOVE | Weighty Bash :: D (redundant)
- | SHOVE | Weighty Buffet :: D (redundant)
- | SHOVE | Weighty Jolt :: D (redundant)
- | SHOVE | Weighty Jostle :: D (redundant)
- | SHOVE | Weighty Barge :: D (redundant)
- | SHOVE | Weighty Broadside :: D (redundant)
- | SHOVE | Weighty Collision :: D (redundant)
- | SHOVE | Weighty Repel :: D (redundant)
- | SHOVE | Weighty Repulse :: D (redundant)
- | SHOVE | Weighty Expel :: D (redundant)
- | SHOVE | Weighty Eject :: D (redundant)
- | SHOVE | Weighty Evict :: D (redundant)
- | SHOVE | Weighty Displace :: D (redundant)
- | SHOVE | Weighty Dislodge :: D (redundant)
- | SHOVE | Weighty Unseat :: D (redundant)
- | SHOVE | Weighty Upset :: D (redundant)
- | SHOVE | Weighty Overturn :: D (redundant)
- | SHOVE | Weighty Topple :: D (redundant)
- | SHOVE | Weighty Overthrow :: D (redundant)
- | SHOVE | Weighty Stagger :: D (redundant)
- | SHOVE | Weighty Rock :: D (redundant)
- | SHOVE | Weighty Buckle :: D (redundant)
- | SHOVE | Weighty Wrench :: D (redundant)
- | SHOVE | Weighty Heave :: D (redundant)
- | SHOVE | Weighty Bump :: D (redundant)
- | SHOVE | Weighty Clout :: D (redundant)
- | SHOVE | Weighty Stampede :: D (redundant)
- | SHOVE | Ponderous Push :: D (redundant)
- | SHOVE | Ponderous Thrust :: D (redundant)
- | SHOVE | Ponderous Ram :: D (redundant)
- | SHOVE | Ponderous Charge :: D (redundant)
- | SHOVE | Ponderous Slam :: D (redundant)
- | SHOVE | Ponderous Bash :: D (redundant)
- | SHOVE | Ponderous Buffet :: D (redundant)
- | SHOVE | Ponderous Jolt :: D (redundant)
- | SHOVE | Ponderous Jostle :: D (redundant)
- | SHOVE | Ponderous Barge :: D (redundant)
- | SHOVE | Ponderous Broadside :: D (redundant)
- | SHOVE | Ponderous Collision :: D (redundant)
- | SHOVE | Ponderous Repel :: D (redundant)
- | SHOVE | Ponderous Repulse :: D (redundant)
- | SHOVE | Ponderous Expel :: D (redundant)
- | SHOVE | Ponderous Eject :: D (redundant)
- | SHOVE | Ponderous Evict :: D (redundant)
- | SHOVE | Ponderous Displace :: D (redundant)
- | SHOVE | Ponderous Dislodge :: D (redundant)
- | SHOVE | Ponderous Unseat :: D (redundant)
- | SHOVE | Ponderous Upset :: D (redundant)
- | SHOVE | Ponderous Overturn :: D (redundant)
- | SHOVE | Ponderous Topple :: D (redundant)
- | SHOVE | Ponderous Overthrow :: D (redundant)
- | SHOVE | Ponderous Stagger :: D (redundant)
- | SHOVE | Ponderous Rock :: D (redundant)
- | SHOVE | Ponderous Buckle :: D (redundant)
- | SHOVE | Ponderous Wrench :: D (redundant)
- | SHOVE | Ponderous Heave :: D (redundant)
- | SHOVE | Ponderous Bump :: D (redundant)
