- | STRIKE | Tidal Blow :: D (Tidal Blow — flat, register mismatch with the plain family; not comic/gibberish, but Ti
- | SPRAY | Foam Wash :: D — Foam Slick cut above (D); Foam Wash redundant against Tide Wash — X
- | SPRAY | Flume Sluice :: D — a flume IS a channel, "sluice" (a gate on a channel) is X-redundant with the flume con
- | SPRAY | Deluge Spray :: X — Deluge Wash is the kept spray-cell form; bare "Deluge Spray" redundant
- | BURST | Tidal/Tide Blast :: X — near-dup of Wave/Torrent Burst, redundant
- | BURST | Tidal/Tide Eruption :: X — Geyser Eruption covers the eruption register; Tide Eruption redundant
- | BURST | Tidal/Tide Outburst :: X — redundant against Tidal Burst
- | BURST | Tidal/Tide Concussion :: X — redundant, near-dup of Shockwave
- | BURST | Brine Eruption :: X — Geyser Eruption/Spring Eruption cover this register; Brine Eruption redundant
- | BURST | Brine Outburst :: X — redundant against Brine Blast/Brine Rupture
- | BURST | Brine Shockwave :: X — Tide Shockwave covers this register; Brine Shockwave redundant
- | BURST | Brine Concussion :: X — redundant
- | BURST | Brine Pulse :: X — Tide Pulse/Current Pulse cover the pulse register; Brine Pulse redundant
- | BURST | Brine Ripple :: X — Tide Ripple/Current Ripple cover this; redundant
- | BURST | Wave Blast :: X — redundant against Wave Burst
- | BURST | Wave Eruption :: X — Geyser Eruption covers this; Wave Eruption redundant
- | BURST | Wave Outburst :: X — redundant
- | BURST | Wave Rupture :: X — Tide Rupture covers this register; Wave Rupture redundant
- | BURST | Wave Shockwave :: X — Tide Shockwave covers this; redundant
- | BURST | Wave Concussion :: X — redundant
- | BURST | Surge Blast :: X — redundant
- | BURST | Surge Eruption :: X — Geyser Eruption; redundant
- | BURST | Surge Outburst :: X — redundant
- | BURST | Surge Rupture :: X — Tide Rupture; redundant
- | BURST | Surge Shockwave :: X — Tide Shockwave; redundant
- | BURST | Surge Concussion :: X — redundant
- | BURST | Surge Ripple :: X — redundant against Current Ripple/Tide Ripple
- | BURST | Torrent Blast :: X — Torrent Outburst, cut above, redundant against Torrent Burst
- | BURST | Torrent Eruption :: X — Geyser Eruption covers this; Torrent Eruption redundant
- | BURST | Flood Blast :: X — redundant
- | BURST | Flood Eruption :: X — Geyser Eruption; redundant
- | BURST | Flood Outburst :: X — redundant
- | BURST | Downpour Blast :: X — redundant
- | BURST | Downpour Eruption :: X — redundant
- | BURST | Downpour Outburst :: X — redundant
- | BURST | Fountain Blast :: X — redundant
- | BURST | Fountain Eruption :: X — redundant against Spring/Geyser Eruption
- | BURST | Fountain Outburst :: X — redundant
- | BURST | Geyser Blast :: X — redundant
- | BURST | Geyser Outburst :: X — redundant
- | BURST | Geyser Rupture :: X — Geyser Eruption covers this register; Geyser Rupture redundant
- | BURST | Geyser Shockwave :: X — Tide Shockwave covers the shockwave register generically; Geyser Shockwave redundant, 
- | BURST | Geyser Concussion :: X — redundant
- | BURST | Geyser Overflow :: X — Geyser Upheaval, cut above, redundant against Geyser Eruption
- | BURST | Geyser Upheaval :: X — cut above, redundant
- | BURST | Geyser Pulse :: X — Geyser Vent covers a related register; Geyser Pulse would be redundant against Current
- | BURST | Geyser Ripple :: X — redundant against Current/Tide Ripple
- | BURST | Deluge Blast :: X — redundant
- | BURST | Deluge Eruption :: X — redundant against Geyser/Spring Eruption
- | BURST | Deluge Outburst :: X — redundant
- | BURST | Reservoir Blast :: X — redundant against Reservoir Burst
- | BURST | Reservoir Outburst :: X — redundant
- | BURST | Reservoir Vent :: D — Reservoir Vent Burst, cut above, word-count violation as harvested; "Reservoir Vent" a
- | CLOUD | Mist Haze :: D — Mist Haze is redundant/tautological with Mist itself, both describe the same diffuse-a
- | CLOUD | Mist Murk :: X — Brine Murk already covers the murk register; Mist Murk redundant
- | CLOUD | Mist Blanket :: X — Mist Cloud already covers the all-covering reading; Mist Blanket redundant
- | CLOUD | Mist Curtain :: X — Water Curtain already ratified in WARD cell (v4); Mist Curtain would either duplicate 
- | CLOUD | Mist Mantle :: D — mantle implies a draped structural layer; mist has no such anatomy, redundant against 
- | CLOUD | Mist Trail :: D — trail implies a lingering line/path; redundant against the already-kept standing/linge
- | CLOUD | Brine Shroud :: D — Brine Shroud is redundant against Mist Shroud with no distinguishing feature — X
- | CLOUD | Brine Veil :: D — Brine Veil redundant against Mist Veil — X
- | CLOUD | Brine Field :: D — Brine Field redundant against Mist Field/Brine Zone — X
- | CLOUD | Sea Shroud :: D — Sea Shroud redundant against Mist Shroud — X
- | CLOUD | Sea Veil :: D — Sea Veil redundant against Mist Veil — X
- | CLOUD | Sea Haze :: D — Sea Haze redundant against Brine Haze — X
- | CLOUD | Sea Blanket :: D — blanket redundant
- | CLOUD | Sea Billow :: D — Sea Billow redundant against Mist Billow — X
- | CLOUD | Sea Plume :: D — Sea Plume redundant against Mist Plume — X
- | CLOUD | Sea Drift :: D — Sea Drift redundant against Mist Drift — X
- | CLOUD | Sea Zone :: D — Sea Zone redundant against Brine Zone — X
- | CLOUD | Sea Field :: D — Sea Field redundant against Mist Field — X
- | CLOUD | Tide/Tidal Shroud :: D — Tide Shroud redundant against Mist Shroud — X
- | CLOUD | Tide/Tidal Veil :: D — Tide Veil redundant against Mist Veil — X
- | CLOUD | Tide/Tidal Haze :: D — Tide Haze redundant against Brine Haze — X
- | CLOUD | Tide/Tidal Murk :: D — Tide Murk redundant against Brine Murk — X
- | CLOUD | Tide/Tidal Blanket :: D — blanket redundant
- | CLOUD | Tide/Tidal Billow :: D — Tide Billow redundant against Mist Billow — X
- | CLOUD | Tide/Tidal Plume :: D — Tide Plume redundant against Mist Plume — X
- | CLOUD | Tide/Tidal Drift :: D — Tide Drift redundant against Mist Drift — X
- | CLOUD | Tide/Tidal Zone :: D — Tide Zone redundant — X
- | CLOUD | Tide/Tidal Field :: D — Tide Field redundant — X
- | CLOUD | Fog Shroud :: D — Fog Shroud redundant against Mist Shroud — X
- | CLOUD | Fog Murk :: D — Fog Murk redundant against Brine Murk — X
- | CLOUD | Fog Blanket :: D — blanket redundant
- | CLOUD | Fog Billow :: D — Fog Billow redundant against Mist Billow — X
- | CLOUD | Fog Plume :: D — Fog Plume redundant against Mist Plume — X
- | CLOUD | Fog Drift :: D — Fog Drift redundant against Mist Drift — X
- | CLOUD | Fog Zone :: D — Fog Zone redundant — X
- | CLOUD | Fog Field :: D — Fog Field redundant — X
- | SNARE | Tide/Tidal Bond :: X — Tide Bond, cut above, redundant against Tidal Tether/Undertow Bind
- | SNARE | Tide/Tidal Loop :: X — Tide Loop, cut above, redundant against the rotational Whirlpool/Maelstrom family
- | SNARE | Tide/Tidal Clasp :: X — Tide Clench, cut above, redundant against Tide Clutch
- | SNARE | Tide/Tidal Seize :: X — Undertow Seize, cut above (this row: Tide Seize equally redundant against the establis
- | SNARE | Tide/Tidal Pull :: D — pull is Undertow/Riptide's domain per the drag rule; "Tide Pull" reads as a weaker, le
- | SNARE | Tide/Tidal Bind :: X — Undertow Bind covers this register; Tide Bind redundant
- | SNARE | Tide/Tidal Reel :: X — Tide Reel, cut above, redundant against Undertow/Riptide Pull family
- | SNARE | Tide/Tidal Haul :: X — redundant, same reasoning
- | SNARE | Tide/Tidal Tow :: X — Tide Tow, cut above, redundant
- | SNARE | Current Trap :: X — Current Trap, cut above, redundant against Tide Trap
- | SNARE | Current Bond :: X — redundant against Current Tether
- | SNARE | Current Loop :: X — redundant against rotational family
- | SNARE | Current Clutch :: X — Current Clench redundant against Current Grip/Grasp — X
- | SNARE | Current Clasp :: X — Current Clasp, cut above, redundant against Current Grasp
- | SNARE | Current Seize :: X — redundant against grip/grasp family
- | SNARE | Current Bind :: X — redundant against Undertow Bind
- | SNARE | Current Haul :: X — redundant against Undertow/Riptide Pull
- | SNARE | Current Tow :: X — redundant
- | SNARE | Current Wrench :: D — Current Wrench, already the strike-cell Current Jolt-adjacent family reads better ther
- | SNARE | Current Hinder :: X — Current Restraint, cut above, flat redundant restatement — treating Hinder the same wa
- | SNARE | Riptide Trap :: X — Riptide Trap, cut above, redundant
- | SNARE | Riptide Loop :: X — loop redundant against rotational family
- | SNARE | Riptide Bind :: D — bind implies a wrapped/looped hold, better fits Undertow's already-kept Undertow Bind;
- | SNARE | Riptide Reel :: D — Riptide Haul, cut above, redundant against Riptide Pull/Drag
- | SNARE | Riptide Haul :: X — redundant
- | SNARE | Riptide Tow :: X — Riptide Tow, redundant
- | SNARE | Undertow Trap :: X — Undertow Trap, cut above, redundant
- | SNARE | Undertow Loop :: X — loop redundant
- | SNARE | Undertow Reel :: D — Undertow Seize/Reel, cut above, redundant against Pull/Drag/Bind family
- | SNARE | Undertow Haul :: X — redundant
- | SNARE | Undertow Tow :: X — redundant
- | SNARE | Undertow Wrench :: X — Undertow Wrench, redundant against strike-cell Tide Wrench by extension
- | SNARE | Whirlpool Trap :: X — Whirlpool Trap, cut above, redundant
- | SNARE | Whirlpool Loop :: D — Whirlpool Loop would be the most literally honest of any row here (a whirlpool IS loop
- | SNARE | Whirlpool Clutch :: X — Whirlpool Clasp/Clench, cut above, redundant
- | SNARE | Whirlpool Clasp :: X — Whirlpool Clasp, cut above, redundant
- | SNARE | Whirlpool Seize :: X — redundant against Grip/Grasp
- | SNARE | Whirlpool Bind :: D — bind redundant against Grip/Grasp
- | SNARE | Whirlpool Reel :: D — reel redundant/mismatch
- | SNARE | Maelstrom Snare :: X — Maelstrom Snare redundant against Maelstrom Grip (already the ratified single placemen
- | SNARE | Maelstrom Trap :: X — Maelstrom Trap, cut above, redundant
- | SNARE | Maelstrom Bond :: D — bond redundant against Grip
- | SNARE | Maelstrom Loop :: D — loop redundant against Grip's rotational reading
- | SNARE | Maelstrom Grasp :: X — Maelstrom Grasp redundant against Maelstrom Grip, no distinguishing feature
- | SNARE | Maelstrom Clutch :: X — redundant
- | SNARE | Maelstrom Clasp :: X — redundant
- | SNARE | Maelstrom Seize :: X — redundant
- | SNARE | Maelstrom Bind :: D — bind redundant against Grip
- | SNARE | Brine Snare :: X — Brine Snare redundant against the already-established Tide/Current/Undertow/Riptide/Wh
- | SNARE | Brine Trap :: X — Brine Trap, redundant
- | SNARE | Brine Tether :: D — Brine Tether redundant against Tidal/Current Tether
- | SNARE | Brine Bond :: D — bond redundant
- | SNARE | Brine Loop :: D — loop redundant
- | SNARE | Brine Grip :: D — Brine Grip redundant against Tide/Current Grip, no distinguishing feature — X
- | SNARE | Brine Clutch :: D — Brine Clutch redundant against Tide Clutch — X
- | SNARE | Brine Clasp :: D — Brine Clasp redundant — X
- | SNARE | Brine Seize :: D — seize redundant
- | SNARE | Brine Pull :: D — pull redundant against the drag-rule family, brine itself isn't a drag-word
- | SNARE | Brine Bind :: D — bind redundant
- | SNARE | Eddy Snare :: X — Eddy Snare redundant against the established Snare family; Eddy itself is the ratified
- | SNARE | Eddy Trap :: X — Eddy Trap, redundant
- | SNARE | Eddy Tether :: D — Eddy Tether mismatch/redundant
- | SNARE | Eddy Loop :: D — Eddy Loop is the most literally honest of the loop-family (an eddy IS a small loop-sha
- | SNARE | Eddy Grip :: D — Eddy Grip redundant against the established Grip family, no distinguishing feature
- | SNARE | Eddy Grasp :: D — Eddy Grasp redundant
- | SNARE | Eddy Clutch :: D — Eddy Clutch redundant
- | SNARE | Eddy Clasp :: D — Eddy Clasp redundant
- | SNARE | Eddy Seize :: D — seize redundant
- | SNARE | Eddy Bind :: D — bind redundant
- | CRUSH | Abyssal Squeeze :: D — abyssal names the location the pressure occurs in, not the compressing force itself; "
- | CRUSH | Abyssal Constrict :: D — same reasoning, redundant with Abyssal Crush
- | CRUSH | Abyssal Smother :: D — "smother" implies covering/suffocating, a distinct action from crushing pressure; redu
- | CRUSH | Abyssal Weight :: D — weight belongs to Depth/Torrent, redundant here
- | CRUSH | Depth Squeeze :: D — redundant with Depth Press
- | CRUSH | Depth Constrict :: D — redundant
- | CRUSH | Hydrostatic Press :: D — redundant with Hydrostatic Crush, no distinct "press" reading beyond what Crush alread
- | CRUSH | Submersion Press :: D — redundant with the kept Crush compound
- | CRUSH | Flood Press :: D — redundant
- | CRUSH | Deluge Press :: D — redundant
- | CRUSH | Saturation Press :: D — redundant
- | CRUSH | Torrent Crush :: D — torrent is fast/kinetic, "Crush" alone reads redundant against Torrent Weight already 
- | CRUSH | Torrent Squeeze :: D — Torrent Squeeze reads weak next to Torrent Weight; cut as redundant near-duplicate
- | CRUSH | Tide Crush :: D — redundant with Tide Press
- | WARD | Tidal/Tide Stronghold :: D — redundant with Tide Bastion/Redoubt, stronghold reads as an unnecessary third near-dup
- | WARD | Tidal/Tide Refuge :: D — redundant with Depth Refuge (kept), not separately composed for Tide
- | WARD | Tidal/Tide Haven :: D — redundant with Lagoon Haven (kept)
- | WARD | Tidal/Tide Fortify :: D — redundant, fortify is covered by the Bastion/Redoubt family
- | WARD | Tidal/Tide Reinforce :: D — redundant with Surge Bulwark's reinforcement sense
- | WARD | Tidal/Tide Repel :: D — repel is covered honestly by Current Repel (kept); Tide Repel redundant
- | WARD | Tidal/Tide Withstand :: D — withstand is an abstract endurance verb, weaker/redundant against the concrete Tide Wa
- | WARD | Tidal/Tide Bolster :: D — bolster is a support-verb, redundant against the Bastion/Redoubt family
- | WARD | Tidal/Tide Buffer :: D — buffer covered honestly by Current Buffer (kept); Tide Buffer redundant
- | WARD | Tidal/Tide Veil :: D — redundant with Brine Veil (kept)
- | WARD | Tidal/Tide Shroud :: D — redundant with Brine Shroud (kept)
- | WARD | Tidal/Tide Curtain :: D — redundant with Water Curtain (kept, ratified)
- | WARD | Current Ward :: D — redundant with Tide Ward
- | WARD | Current Bulwark :: D — redundant
- | WARD | Current Reinforce :: D — redundant with Surge Bulwark's reinforcement sense
- | WARD | Brine Screen :: D — redundant with Tide Screen
- | WARD | Reef Ward :: D — no compound composed in the base cell; re-tested here — "Reef Ward" reads flat/redunda
- | MEND | Tide Purify :: D — redundant, Purifying Spring/Rain already carry this register; "Tide Purify" flat next 
- | MEND | Tide Renew :: D — redundant with Renewal Spring; no distinct Tide compound
- | MEND | Tide Soothe :: D — covered by Soothing Current (kept); Tide Soothe redundant
- | MEND | Tide Nourish :: D — redundant with Nourishing Spring
- | MEND | Tide Tonic :: D — redundant with Tonic Rain/Brine Tonic
- | MEND | Tide Remedy :: D — "remedy" is abstract/clinical, redundant against the far more concrete Elixir/Tonic/Ba
- | MEND | Tide Rejuvenate :: D — redundant with Rejuvenating Spring
- | MEND | Tide Refresh :: D — no distinct compound, redundant with Restorative Tide
- | MEND | Tide Console :: D — "console" is a formal, slightly stiff verb; redundant against Tide Comfort/Tide Solace
- | MEND | Tide Ease :: D — redundant with Spring Ease
- | MEND | Tide Respite :: D — redundant with Tide Respite
- | MEND | Rain Renew :: D — redundant, no distinct compound beyond Renewal Spring
- | MEND | Rain Recover :: D — redundant with Recovery Tide
- | MEND | Rain Nourish :: D — redundant with Nourishing Spring
- | MEND | Rain Balm :: D — redundant with Balm Tide
- | MEND | Rain Elixir :: D — redundant with Tide Elixir
- | MEND | Rain Rejuvenate :: D — redundant
- | MEND | Rain Refresh :: D — redundant
- | MEND | Rain Replenish :: D — redundant with Tide Replenish
- | MEND | Rain Rally :: D — redundant with Tide Rally
- | MEND | Rain Comfort :: D — redundant with Tide Comfort
- | MEND | Rain Console :: D — redundant
- | MEND | Rain Calm :: D — redundant
- | MEND | Rain Ease :: D — redundant
- | MEND | Rain Solace :: D — redundant with Tide Respite
- | MEND | Spring Heal :: D — redundant with Healing Tide/Rain
- | MEND | Spring Restore :: D — redundant with Restorative Tide/Rain
- | MEND | Spring Soothe :: D — redundant with Soothing Current
- | MEND | Spring Recover :: D — redundant
- | MEND | Spring Revive :: D — redundant with Reviving Rain
- | MEND | Spring Balm :: D — redundant
- | MEND | Spring Tonic :: D — redundant
- | MEND | Spring Elixir :: D — redundant
- | MEND | Spring Refresh :: D — redundant
- | MEND | Spring Replenish :: D — redundant
- | MEND | Spring Rally :: D — redundant with Tide Rally/Current Rally
- | MEND | Spring Console :: D — redundant
- | MEND | Spring Calm :: D — redundant
- | MEND | Spring Assuage :: D — redundant
- | MEND | Spring Solace :: D — redundant with Tide Respite
- | MEND | Spring Respite :: D — redundant with Rain Reprieve
- | MEND | Current Heal :: D — redundant
- | MEND | Current Restore :: D — redundant with Renewing Current's register
- | MEND | Current Recover :: D — redundant
- | MEND | Current Comfort :: D — redundant
- | MEND | Wave Cleanse :: D — redundant
- | MEND | Wave Restore :: D — redundant
- | MEND | Wave Soothe :: D — redundant
- | MEND | Brine Heal :: D — redundant
- | MEND | Wellspring Heal :: D — see cell note, Wellspring stands bare as the mend-side ratified keep; "Wellspring Heal
- | TERRORIZE | Abyssal Terror :: D — redundant, Abyssal Dread already carries this register more idiomatically
- | TERRORIZE | Abyssal Horror :: D — same, "horror" reads redundant/weaker than Dread
- | TERRORIZE | Abyssal Chill :: D — covered honestly by Depth Chill/Current Chill (kept); Abyssal Chill redundant
- | TERRORIZE | Abyssal Intimidate :: D — "intimidate" is an abstract verb, redundant against the far more concrete Abyssal Pres
- | TERRORIZE | Abyssal Unnerve :: D — same, abstract and redundant
- | TERRORIZE | Abyssal Stare :: D — "stare" is covered by the anatomy-tagged Abyssal Glare, which is the stronger, already
- | TERRORIZE | Abyssal Aura :: D — aura is covered honestly by Abyssal Presence (kept), redundant
- | TERRORIZE | Abyssal Wither :: D — wither is drain/terrorize-adjacent but reads better with Current (kept below); Abyssal
- | TERRORIZE | Abyssal Shudder :: D — see Tide Shudder (kept); Abyssal Shudder redundant
- | TERRORIZE | Abyssal Shriek :: D — shriek/howl/wail/growl/snarl/hiss are all mouth/vocal-cord-specific sounds; "Abyssal" 
- | TERRORIZE | Depth Terror :: D — redundant
- | TERRORIZE | Depth Horror :: D — redundant
- | TERRORIZE | Depth Menace :: D — redundant with Abyssal Menace
- | TERRORIZE | Depth Presence :: D — redundant with Abyssal Presence
- | TERRORIZE | Depth Glare :: D — redundant with Abyssal Glare
- | TERRORIZE | Depth Roar :: D — redundant with Abyssal Roar
- | TERRORIZE | Trench Horror :: D — redundant with Trench Terror
- | TERRORIZE | Trench Menace :: D — redundant with Abyssal Menace
- | TERRORIZE | Trench Presence :: D — no distinct compound, redundant
- | TERRORIZE | Trench Chill :: D — redundant with Depth Chill
- | TERRORIZE | Maelstrom Terror :: D — redundant
- | TERRORIZE | Maelstrom Horror :: D — redundant
- | TERRORIZE | Maelstrom Menace :: D — redundant with Abyssal Menace
- | TERRORIZE | Maelstrom Roar :: D — "Maelstrom Roar" plausible but redundant against the already-kept, more anatomically-g
- | TERRORIZE | Current Dread :: D — see cell rejection, Undertow Dread's reasoning extends partway here but Current itself
- | TERRORIZE | Tide Chill :: D — Tide Chill redundant with Depth Chill/Current Chill already kept
